"id","created_at","created_dmy","red","text","type","page_id","audiencia_interaccion","audiencia","comments","likes","reactions","shares","interaccion","ranking","views","user_id","username","name","user_desc","followers","friends","is_reply","is_rt","reply_to_id","location","pais","ciudad","sector","gen","lang","link","linkpage","keywords"
"1796429737679790316","2024-05-31 06:33:20.0","31-05-2024","Twitter","O trabalho não para! Noite e dia, há equipes trabalhando para fazer com que toneladas de doações cheguem a quem mais precisa. O time do presidente @LulaOficial está junto com os militares, os voluntários e as equipes dos Correios nessa grande mobilização pelo nosso povo gaúcho. A solidariedade é o que nos move. 🟩🟥🟨","Tweet","230147504","0","0","0","0","0","0","0","5","0","230147504","FernandeseVal","José Fernandes","Amazônida, Manauense, Economista, Botafoguense, Esquerda","1570","2398","false","true","","","","","","M","pt","https://twitter.com/FernandeseVal/status/1796429737679790316","https://twitter.com/FernandeseVal","@lulaoficial"
"1796427875329151246","2024-05-31 06:25:56.0","31-05-2024","Twitter","La falta de escrúpulos éticos con la q actúa Feijoo es un escándalo. Su estrategia es la misma q llevó a Antonio Costa a presentar su dimisión como primer ministro en Portugal y a la cárcel a Lula da Silva con una falsa acusación de corrupción. Aquí no pararán hasta conseguirlo.","Tweet","1460916462","0","0","0","0","0","0","0","3","0","1460916462","chulimc","McFarlane 🔻","❤💛💜Maite 💢","490","752","false","true","","","","","","F","es","https://twitter.com/chulimc/status/1796427875329151246","https://twitter.com/chulimc","Lula da silva"
"1796427304320815237","2024-05-31 06:23:40.0","31-05-2024","Twitter","A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso","Tweet","130233687","0","0","0","0","0","0","0","6","0","130233687","hannahcovolo","#SeNãoAgora,Quando?","“Se não houver frutos, valeu a beleza das flores; se não houver flores, valeu a sombra das folhas; se não houver folhas, valeu a intenção da semente”. Henfil 🚩","4868","3682","false","true","","Copacabana, RJ/Br","","","","F","pt","https://twitter.com/hannahcovolo/status/1796427304320815237","https://twitter.com/hannahcovolo","@lulaoficial"
"1796426591058407613","2024-05-31 06:20:49.0","31-05-2024","Twitter","A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso","Tweet","1138126886142431233","0","0","0","0","0","0","0","3","0","1138126886142431233","NadiaMariaDour1","Nadia Maria Dourado","Formada em psicologia","474","736","false","true","","","","","","F","pt","https://twitter.com/NadiaMariaDour1/status/1796426591058407613","https://twitter.com/NadiaMariaDour1","@lulaoficial"
"1796424242357215255","2024-05-31 06:11:29.0","31-05-2024","Twitter","MODERNIZAÇÃO DA INDÚSTRIA | Indústrias brasileiras poderão renovar maquinário e adquirir novas tecnologias abatendo os valores investidos em impostos federais de forma mais rápida. É a chamada Depreciação Acelerada. O incentivo está em projeto de lei sancionado por @LulaOficial. https://t.co/n7SRSoE6ne","Tweet","47281168","0","0","0","0","0","0","0","7","0","47281168","EuRobo36","jaime🦑 1⃣3⃣ 🇧🇷🇷🇺🇮🇳🇨🇳🇿🇦","Sou do Sudeste, do Nordeste, do Sul, do Norte e do Centro-Oeste. Sou brasileiro. Sou do Brasil.","13734","2687","false","true","","Brasil.","","","","M","pt","https://twitter.com/EuRobo36/status/1796424242357215255","https://twitter.com/EuRobo36","@lulaoficial"
"1796423576549208502","2024-05-31 06:08:51.0","31-05-2024","Twitter","La falta de escrúpulos éticos con la q actúa Feijoo es un escándalo. Su estrategia es la misma q llevó a Antonio Costa a presentar su dimisión como primer ministro en Portugal y a la cárcel a Lula da Silva con una falsa acusación de corrupción. Aquí no pararán hasta conseguirlo.","Tweet","1589162584133058561","0","0","0","0","0","0","0","1","0","1589162584133058561","DaganzoGarcia","Susana Garcia Daganzo","","36","88","false","true","","","","","","U","es","https://twitter.com/DaganzoGarcia/status/1796423576549208502","https://twitter.com/DaganzoGarcia","Lula da silva"
"1796421669940347377","2024-05-31 06:01:16.0","31-05-2024","Twitter","@pesquisas_elige @JMilei @LulaOficial @FlavioBolsonaro @CarlosBolsonaro @BolsonaroSP @jairbolsonaro o LULA salvou o Brasil e agora tá salvando a Argentina tb! 😅😂
MILEI FEZ O L 🚩🦑
MILEI FEZ O L 🚩🦑
MILEI FEZ O L 🚩🦑

Tá vendo como se governa @EduGiraoOficial @GayerGus @nikolas_dm ?","Tweet","2790573696","0","0","0","0","0","0","0","6","0","2790573696","GBerti3","Berte3","Mulher, brasileira, 70% razão e 30% coração mas, isso muda dependendo da causa em pauta, equidade sempre. Respeito e hierarquia, não abro mão.","3578","4978","false","true","","Rio de Janeiro - Brasil","","","","F","pt","https://twitter.com/GBerti3/status/1796421669940347377","https://twitter.com/GBerti3","@lulaoficial"
"1796419542941667514","2024-05-31 05:52:49.0","31-05-2024","Twitter","@Pedro23Pt @pesquisas_elige @JMilei @LulaOficial @FlavioBolsonaro @CarlosBolsonaro @BolsonaroSP @jairbolsonaro @EduGiraoOficial @GayerGus @nikolas_dm Pedro, deixa de bobeira. Isso nada mais é que salvar a pele do próprio país. Quando foi necessário, o presidente do Brasil foi à Rússia por fertilizantes. O mesmo acontece agora com a Argentina. Países têm interesses que sobrepujam questões ideológicas e pessoais.","Tweet","309299314","9","9","0","0","0","0","0","3","0","309299314","josueoliveiraa","Josué Oliveira","Brasileiro patriota, conservador, militante da direita e todos aqueles paranauês de quem se coloca dessa maneira.","285","234","true","false","1796330511117201758","Bahia, Brasil","","","","M","pt","https://twitter.com/josueoliveiraa/status/1796419542941667514","https://twitter.com/josueoliveiraa","@lulaoficial"
"1796417031899852874","2024-05-31 05:42:50.0","31-05-2024","Twitter","La falta de escrúpulos éticos con la q actúa Feijoo es un escándalo. Su estrategia es la misma q llevó a Antonio Costa a presentar su dimisión como primer ministro en Portugal y a la cárcel a Lula da Silva con una falsa acusación de corrupción. Aquí no pararán hasta conseguirlo.","Tweet","197460798","0","0","0","0","0","0","0","4","0","197460798","tonchi_es","Expañol","Dos no discuten si uno no.","769","5033","false","true","","","","","","M","es","https://twitter.com/tonchi_es/status/1796417031899852874","https://twitter.com/tonchi_es","Lula da silva"
"1796415474961657988","2024-05-31 05:36:39.0","31-05-2024","Twitter","A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso","Tweet","815281266165739521","0","0","0","0","0","0","0","5","0","815281266165739521","MariaVa14959703","Maria Valeria","","2908","4822","false","true","","","","","","F","pt","https://twitter.com/MariaVa14959703/status/1796415474961657988","https://twitter.com/MariaVa14959703","@lulaoficial"
"1796415065459163276","2024-05-31 05:35:02.0","31-05-2024","Twitter","A derrubada do veto do presidente @LulaOficial a “saidinha” foi anulada pela acertada decisão do ministro do STF André Mendonça, de que a restrição à saída temporária de presos não vale para quem já cumpria pena. Pegou mal no bolsonarismo, mas muito bem pra quem defende a justiça. Toma Congresso","Tweet","541994047","0","0","0","0","0","0","0","5","0","541994047","NeyMariaM","NeyMaria Menezes","Profª de filosofia,mãe de família,'cometo' poemas em dias tristes.DDHH,Meio amb,Política.Gosto de artes e natureza,mas sobretudo de gente sensível e espirituosa","2781","3780","false","true","","Santana de Parnaíba-SP","","","","F","pt","https://twitter.com/NeyMariaM/status/1796415065459163276","https://twitter.com/NeyMariaM","@lulaoficial"
"1796412864040960026","2024-05-31 05:26:17.0","31-05-2024","Twitter","@gleisi @LulaOficial Leva os presos da sardinha.pra https://t.co/HtlnZBOVge Amante.","Tweet","1753873839270907904","1","1","0","0","0","0","0","0","0","1753873839270907904","mmcelia142028","m_m_celia","","0","35","true","false","1796234302348239202","","","","","F","pt","https://twitter.com/mmcelia142028/status/1796412864040960026","https://twitter.com/mmcelia142028","@lulaoficial"
